,TweetID,TweetContent,TweeterUsername,TweetDatetime,TweetLongitude,TweetLatitude,TweetPlace
449,1543308066308882432,"NEW IN STOCK!!
IVG Salt Rio Rush -10ml

https://t.co/Dpd5wWgAOH

Rio Rush is a blend so Orange, Pineapple, Banana and Passionfruit flavours that will transport you taste buds to a tropical paradise. 

 #vaping #vapeuk #vapenl https://t.co/NYW5isHG78",DampFabriek,2022-07-02 18:58:10+00:00,,,
450,1543307769553600517,"Glamorized vaping?
https://t.co/7jzW5ePwZv",PBCBHC,2022-07-02 18:57:00+00:00,,,
451,1543307556210331649,Quit vaping today👌🏽,Loriipie,2022-07-02 18:56:09+00:00,,,
452,1543307231105634306,pussy flavoured vape juice,aerachbidesign,2022-07-02 18:54:51+00:00,,,
453,1543307219126685698,I just hope London there tonight cause baby ima need that vape!,E_GotTheKeys,2022-07-02 18:54:48+00:00,,,
454,1543306863198064640,would you vape,NotascammerYT,2022-07-02 18:53:24+00:00,,,
455,1543306808101584896,i smokes my vapes up quick,kaypaiid_,2022-07-02 18:53:10+00:00,,,
456,1543306362293297153,Lost my vape painnnnn,AstralSylvieon,2022-07-02 18:51:24+00:00,,,
457,1543306184035250176,definitely that tweet where he was complaining about ppl hitting the juul during tournament sets,jitfrom711,2022-07-02 18:50:42+00:00,,,
458,1543305961963765760,Saw this and immediately thought he had a galactic size vape. #mmemberville #cannabiscommunity #stonerfam https://t.co/y1bjDKImEk,TwoStoned,2022-07-02 18:49:49+00:00,,,
459,1543305762512019456,Took my mates vape off him cos he was doing it in the mosque and he immediately turned into a nitty 😭😭😭,SameOldTabby,2022-07-02 18:49:01+00:00,,,
460,1543305742387744779,"Ok couple odd things saw at the gym this week:

1. A couple make out between sets
2. Multiple people wearing jeans to work out(also 80 degrees outside)
3. Someone vaping in between sets

Are these normal things to do at the gym?  Have I been working out incorrectly??",ReDKeV32,2022-07-02 18:48:56+00:00,,,
461,1543305650477965313,"“I don’t smoke weed, I vape though” 💀😂",thetruth_lbs_,2022-07-02 18:48:34+00:00,,,
462,1543305461214109697,guy who left his juul at the bottom of the marinara trench,ClayBorrellBot,2022-07-02 18:47:49+00:00,,,
463,1543305342267731968,can't believe the midnight cthulhu vapes that free twitter.,bzzzzzzzzzzzzzt,2022-07-02 18:47:21+00:00,,,
464,1543304759620378627,"with the #FDA recently banning all juuls - what does this mean for the #cannabisindustry &amp; #vapes? learn everything you need to know ⬇️ 

https://t.co/acZ7T8cbkG",WheresWeed,2022-07-02 18:45:02+00:00,,,
